time,peak_integral
1129,103499
1431,94399.3
1734,85130
2340,68823.4
2643,62176.4
2945,56379.2
3248,50875.9
3551,45450.6
3854,40958.8
4157,36725.1
4459,31473.6
4762,28311
5065,26609.2
5368,23827.3
5670,21618
5973,18662.4
6276,19328.1
6579,15375.8
6882,15021.8
7184,13355.7
7487,12011.7
7790,10792.4
8093,9917.09
8395,9050.31
8698,8040.68
9001,7323.04
9304,6557.72
9607,5823.53
9909,5149.25
10212,4579.95
11121,2885.93
11423,2643.84
11726,2392.35
12634,1675.84
12937,1581.98
13240,1351.51
13543,1262.72
13846,1106.14
14148,960.746
14451,836.099
14754,842.702
15057,739.017
15360,588.641
15662,591.633
15965,87.1719
16268,85.9723
16571,68.7808
16873,38.5622
17176,86.257
17479,25.799
17782,14.2952
18387,-0.73707
18690,-15.2682